,appid,player_count,date
424,376210,5714,2025-09-23 00:50:00
425,812140,3035,2025-09-23 00:50:29
426,960090,7244,2025-09-23 00:50:58
427,1203620,5406,2025-09-23 00:51:28
428,993090,3602,2025-09-23 00:51:57
429,2141910,8069,2025-09-23 00:52:26
430,714010,2468,2025-09-23 00:52:55
431,2709570,4158,2025-09-23 00:53:24
432,3159330,3423,2025-09-23 00:53:53
433,814380,1688,2025-09-23 00:54:22
434,1757300,9768,2025-09-23 00:54:51
435,1151340,7180,2025-09-23 00:55:20
436,444200,2403,2025-09-23 00:55:50
437,899770,3596,2025-09-23 00:56:19
438,779340,1696,2025-09-23 00:56:48
439,1326470,4198,2025-09-23 00:57:17
440,3659280,8077,2025-09-23 00:57:46
441,1468810,998,2025-09-23 00:58:15
442,835570,1518,2025-09-23 00:58:44
443,2918500,188,2025-09-23 00:59:14
444,397540,4407,2025-09-23 00:59:43
445,238960,4881,2025-09-23 01:00:12
446,3489700,1580,2025-09-23 01:00:41
447,1446780,1438,2025-09-23 01:01:10
448,244850,7039,2025-09-23 01:01:39
449,477160,826,2025-09-23 01:02:08
450,1293830,1265,2025-09-23 01:02:37
451,700330,1643,2025-09-23 01:03:06
452,1909950,1566,2025-09-23 01:03:35
453,1778820,3969,2025-09-23 01:04:04
454,306130,8676,2025-09-23 01:04:34
455,391220,1176,2025-09-23 01:05:03
456,2016590,3773,2025-09-23 01:05:32
457,440900,6338,2025-09-23 01:06:01
458,728880,821,2025-09-23 01:06:30
459,431730,4998,2025-09-23 01:06:59
460,1284210,5230,2025-09-23 01:07:28
461,1295660,5137,2025-09-23 01:07:57
462,815370,1535,2025-09-23 01:08:27
463,233860,4366,2025-09-23 01:08:56
464,1211020,3542,2025-09-23 01:09:25
465,2949320,1475,2025-09-23 01:09:54
466,2050650,3181,2025-09-23 01:10:23
467,3059520,2840,2025-09-23 01:10:52
468,379430,3080,2025-09-23 01:11:21
469,518790,2949,2025-09-23 01:11:50
470,916440,2544,2025-09-23 01:12:20
471,1144200,5296,2025-09-23 01:12:49
472,1876890,626,2025-09-23 01:13:18
473,1604270,2237,2025-09-23 01:13:47
474,3321660,2255,2025-09-23 01:14:16
475,214950,4141,2025-09-23 01:14:45
476,632360,5789,2025-09-23 01:15:14
477,262060,2134,2025-09-23 01:15:44
478,2471100,3850,2025-09-23 01:16:13
479,933110,3263,2025-09-23 01:16:42
480,270880,7227,2025-09-23 01:17:11
481,1868140,1325,2025-09-23 01:17:40
482,2277560,632,2025-09-23 01:18:09
483,1366540,1851,2025-09-23 01:18:38
484,242760,2423,2025-09-23 01:19:07
485,1904540,2597,2025-09-23 01:19:36
486,3199170,3848,2025-09-23 01:20:05
487,48700,1788,2025-09-23 01:20:34
488,914690,15,2025-09-23 01:21:04
489,3180070,3816,2025-09-23 01:21:33
490,1943950,825,2025-09-23 01:22:02
491,1267910,3032,2025-09-23 01:22:31
492,1304930,2923,2025-09-23 01:23:00
493,588650,1515,2025-09-23 01:23:29
494,2642680,4566,2025-09-23 01:23:58
495,1066780,1891,2025-09-23 01:24:27
496,544810,594,2025-09-23 01:24:56
497,2384580,684,2025-09-23 01:25:26
498,945360,4421,2025-09-23 01:25:55
499,1621690,1768,2025-09-23 01:26:24
500,730,677679,2025-09-23 01:26:53
501,570,455887,2025-09-23 01:27:22
502,578080,76695,2025-09-23 01:27:51
503,2507950,40980,2025-09-23 01:28:20
504,1172470,42318,2025-09-23 01:28:49
505,1030300,129791,2025-09-23 01:29:18
506,3419430,66915,2025-09-23 01:29:48
507,1203220,7081,2025-09-23 01:30:17
508,431960,43755,2025-09-23 01:30:46
509,1285190,140171,2025-09-23 01:31:15
510,2694490,77096,2025-09-23 01:31:44
511,2923300,91624,2025-09-23 01:32:13
512,252490,74413,2025-09-23 01:32:42
513,413150,38927,2025-09-23 01:33:11
514,3008130,48901,2025-09-23 01:33:40
515,218,73008,2025-09-23 01:34:10
516,271590,34502,2025-09-23 01:34:39
517,480,25446,2025-09-23 01:35:08
518,236390,30033,2025-09-23 01:35:37
519,2622380,21397,2025-09-23 01:36:06
520,322330,12075,2025-09-23 01:36:35
521,3354750,106626,2025-09-23 01:37:04
